Id,Target
250,0.578
251,0.633
252,0.462
253,0.743
254,0.57
255,0.525
256,0.408
257,0.49
258,0.727
259,0.439
260,0.627
261,0.462
262,0.505
263,0.572
264,0.51
265,0.671
266,0.538
267,0.495
268,0.505
269,0.46
270,0.459
271,0.588
272,0.591
273,0.47
274,0.44
275,0.686
276,0.453
277,0.696
278,0.657
279,0.712
280,0.56
281,0.511
282,0.444
283,0.503
284,0.711
285,0.463
286,0.59
287,0.507
288,0.755
289,0.601
290,0.615
291,0.488
292,0.666
293,0.61
294,0.47
295,0.621
296,0.717
297,0.543
298,0.534
299,0.507
300,0.504
301,0.558
302,0.644
303,0.742
304,0.611
305,0.667
306,0.695
307,0.656
308,0.681
309,0.462
310,0.55
311,0.674
312,0.689
313,0.537
314,0.407
315,0.48
316,0.712
317,0.577
318,0.347
319,0.537
320,0.615
321,0.542
322,0.618
323,0.589
324,0.621
325,0.457
326,0.512
327,0.537
328,0.594
329,0.499
330,0.393
331,0.566
332,0.437
333,0.448
334,0.622
335,0.469
336,0.668
337,0.457
338,0.583
339,0.398
340,0.704
341,0.467
342,0.689
343,0.506
344,0.649
345,0.536
346,0.618
347,0.62
348,0.612
349,0.634
350,0.62
351,0.575
352,0.543
353,0.583
354,0.545
355,0.537
356,0.471
357,0.624
358,0.491
359,0.593
360,0.697
361,0.566
362,0.544
363,0.646
364,0.534
365,0.496
366,0.559
367,0.526
368,0.41
369,0.713
370,0.561
371,0.444
372,0.475
373,0.502
374,0.681
375,0.769
376,0.515
377,0.48
378,0.523
379,0.376
380,0.546
381,0.686
382,0.637
383,0.676
384,0.518
385,0.567
386,0.68
387,0.648
388,0.392
389,0.498
390,0.605
391,0.511
392,0.652
393,0.485
394,0.518
395,0.588
396,0.592
397,0.55
398,0.659
399,0.579
400,0.511
401,0.516
402,0.441
403,0.621
404,0.497
405,0.561
406,0.593
407,0.463
408,0.555
409,0.678
410,0.669
411,0.634
412,0.556
413,0.638
414,0.716
415,0.717
416,0.564
417,0.581
418,0.537
419,0.69
420,0.55
421,0.412
422,0.569
423,0.676
424,0.57
425,0.521
426,0.522
427,0.623
428,0.687
429,0.559
430,0.584
431,0.586
432,0.576
433,0.651
434,0.7
435,0.464
436,0.615
437,0.433
438,0.744
439,0.636
440,0.607
441,0.497
442,0.634
443,0.621
444,0.519
445,0.36
446,0.613
447,0.449
448,0.566
449,0.625
450,0.278
451,0.645
452,0.531
453,0.491
454,0.651
455,0.568
456,0.607
457,0.579
458,0.606
459,0.637
460,0.572
461,0.433
462,0.59
463,0.528
464,0.655
465,0.717
466,0.544
467,0.632
468,0.685
469,0.54
470,0.618
